variable,pct_nonnegative,n_nonnegative,n_numeric,n_rows,documentation_url,definition_lead
bwtxp_bh,2.0721,3489,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bwtxp_bh,Born when expected   (BHPS)
bwtel_bh,0.9538,1606,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bwtel_bh,Born early or late   (BHPS)
bwtwk_bh,0.9544,1607,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bwtwk_bh,Weeks early or late  (BHPS)
bwtkn_bh,2.0727,3490,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bwtkn_bh,Birth weight known   (BHPS)
bwtlb_bh,2.0187,3399,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bwtlb_bh,Birth weight: Pounds (BHPS)
bwtoz_bh,1.9854,3343,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bwtoz_bh,Birth weight: Ounces (BHPS)
bwtgm_bh,0.0208,35,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bwtgm_bh,Birth weight: Grammes    (BHPS)
bwtg5_bh,0.0131,22,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bwtg5_bh,Birth weight: more than 5.5lbs   (BHPS)
bwtxp,3.8331,6454,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bwtxp,Child born when expected
bwtel,1.6558,2788,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bwtel,Child born early or late
bwtwk,1.6534,2784,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bwtwk,Weeks early or late
bwt,3.7749,6356,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bwt,Birthweight
bwtlb,3.3633,5663,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bwtlb,Birthweight in pounds
bwtoz,3.3526,5645,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bwtoz,Birthweight in ounces
