Variables with no matching questionnaire question text in the Wave 18 PDF.
(Derived, admin, grid aggregates, and renamed fields often have no verbatim question.)
Total dictionary variables (Pos. lines): 3973
Matched from PDF: 568
Not found in PDF: 3405

variable	variable_label
n_ethid2	Importance of language spoken at home
n_ethid3	Importance of English language
n_ethid4a	Importance of own religion
n_ethid4b	Importance of religion brought up in
n_ethid5	Importance of region/city where live
n_ethid6	Importance of country where born
n_ethid7	Importance of region/city where grew up
n_ethid8	Importance of mother's COB
n_ethid9	Importance of father's COB
n_ethid10	Importance of maternal grandmother's COB
n_ethid11	Importance of maternal grandfather's COB
n_ethid12	Importance of paternal grandmother's COB
n_ethid13	Importance of paternal grandfather's COB
n_ethid14	Importance of skin colour
n_ethclose1	Closeness to speaker of same language
n_ethclose2a	Closeness to someone of same religion as own
n_ethclose2b	Closeness to someone of same religion as brought up in
n_ethclose3	Closeness to compatriot
n_ethclose4a	Closeness to someone of same region as brought up in
n_ethclose4b	Closeness to someone of same region as currently live
n_ethclose5	Closeness to someone of mother's COB
n_ethclose6	Closeness to someone of father's COB
n_ethclose7	Closeness to someone of maternal grandmother's COB
n_ethclose8	Closeness to someone of maternal grandfather's COB
n_ethclose9	Closeness to someone of paternal grandmother's COB
n_ethclose10	Closeness to someone of paternal grandfather's COB
n_ethclose11	Closeness to someone with same skin colour
n_pride2	Pride in language brought up in
n_pride4a	Pride in own religion
n_pride4b	Pride in religion brought up in
n_pride6	Pride in birth country
n_pride7	Pride in region brought up in
n_pride5	Pride in region live in
n_pride8	Pride in mother's COB
n_pride9	Pride in father's COB
n_pride10	Pride in maternal grandmother's COB
n_pride11	Pride in maternal grandfather's COB
n_pride12	Pride in paternal grandmother's COB
n_pride13	Pride in paternal grandfather's COB
n_pride14	Pride in colour of skin
n_food1	Eats food from where born
n_food2	Eats food from mother's COB
n_food3	Eats food from father's COB
n_food4	Eats food from maternal grandmother's COB
n_food5	Eats food from maternal grandfather's COB
n_food6	Eats food from paternal grandmother's COB
n_food7	Eats food from paternal grandfather's COB
n_servuse1	Service use in last 12 months: Your local doctor
n_servuse2	Service use in last 12 months: A local hospital
n_servuse3	Service use in last 12 months: Social care services
n_servuse4	Service use in last 12 months: A council housing department or housing associati
n_servuse5	Service use in last 12 months: Police service
n_servuse6	Service use in last 12 months: Local leisure services, such as swimming pool, te
n_servuse7	Service use in last 12 months: Adult education classes
n_servuse8	Service use in last 12 months: A public library
n_servuse9	Service use in last 12 months: A job centre
n_servuse10	Service use in last 12 months: Advice services such as those relating to benefit
n_servuse96	Service use in last 12 months: SPONTANEOUS: None of the above
n_disdif1	Type of impairment or disability: Mobility (moving around at home and walking)
n_disdif2	Type of impairment or disability: Lifting, carrying or moving objects
n_disdif3	Type of impairment or disability: Manual dexterity (using your hands to carry ou
n_disdif4	Type of impairment or disability: Continence (bladder and bowel control)
n_disdif5	Type of impairment or disability: Hearing (apart from using a standard hearing a
n_disdif6	Type of impairment or disability: Sight (apart from wearing standard glasses)
n_disdif7	Type of impairment or disability: Communication or speech problems
n_disdif8	Type of impairment or disability: Memory or ability to concentrate, learn or und
n_disdif9	Type of impairment or disability: Recognising when you are in physical danger
n_disdif10	Type of impairment or disability: Your physical co-ordination (e.g. balance)
n_disdif11	Type of impairment or disability: Difficulties with own personal care
n_disdif12	Type of impairment or disability: Other health problem or disability
n_disdif96	Type of impairment or disability: None of these
n_dissev1	How much difficulty do you have with Mobility
n_dissev2	How much difficulty do you have with Lifting, carrying or moving objects
n_dissev3	How much difficulty do you have with Manual dexterity
n_dissev4	How much difficulty do you have with Continence
n_dissev5	How much difficulty do you have with Hearing
n_dissev6	How much difficulty do you have with Sight
n_dissev7	How much difficulty do you have with Communication
n_dissev8	How much difficulty do you have with Memory
n_dissev9	How much difficulty do you have with recognising when you are in physical danger
n_dissev10	How much difficulty do you have with Your physical co-ordination
n_dissev11	How much difficulty do you have with Difficulties with own personal care
n_dissev12	How much difficulty do you have with Other health problem or disability
n_mhcond8	A phobia
n_mhcond9	Panic attacks
n_mhcond6	Post-traumatic stress disorder
n_mhcond19	Any other mental, emotional or neurological problem or condition
n_mhcond10	Attention deficit hyperactivity disorder (ADHD) or Attention deficit disord
n_mhcond4	Bipolar disorder (or 'manic depression')
n_mhcond2	Depression
n_mhcond11	Post-natal depression
n_mhcond12	Dementia (including Alzheimer's)
n_mhcond5	An eating disorder
n_mhcond13	Nervous breakdown
n_mhcond14	A personality disorder
n_mhcond3	Psychosis or schizophrenia
n_mhcond15	Obsessive compulsive disorder (OCD)
n_mhcond16	Seasonal affective disorder
n_mhcond17	Alcohol or drug dependence
n_mhcond18	Any other anxiety disorder
n_mhcond97	Any other emotional, nervous or psychiatric problem or condition
n_mhcond96	None of these
n_hcond1	Diagnosed health conditions: Asthma
n_hcond2	Diagnosed health conditions: Arthritis
n_hcond3	Diagnosed health conditions: Congestive heart failure
n_hcond4	Diagnosed health conditions: Coronary heart disease
n_hcond5	Diagnosed health conditions: Angina
n_hcond6	Diagnosed health conditions: Heart attack or myocardial infarction
n_hcond7	Diagnosed health conditions: Stroke
n_hcond8	Diagnosed health conditions: Emphysema
n_hcond11	Diagnosed health conditions: Chronic bronchitis
n_hcond21	Diagnosed health conditions: COPD (Chronic Obstructive Pulmonary Disease)
n_hcond28	Diagnosed health conditions: Breast cancer
n_hcond10	Diagnosed health conditions: Hypothyroidism or an under-active thyroid
n_hcond12	Diagnosed health conditions: Any kind of liver condition
n_hcond13	Diagnosed health conditions: Cancer or malignancy
n_hcond14	Diagnosed health conditions: Diabetes
